交易ID,日期,金额,类别,账户,备注,状态
T001,2024-01-05,5000,收入,账户A,销售收入,完成
T002,2024-01-08,,支出,账户B,办公用品,完成
T003,2024-01-12,3500,收入,账户A,服务收入,完成
T004,2024-01-15,2800,支出,账户C,设备采购,处理中
T005,2024-01-20,4200,收入,账户B,咨询收入,完成
T006,2024-01-25,-1500,支出,账户A,退款,完成
T007,2024-02-01,6800,收入,账户C,销售收入,完成
T008,2024-02-05,3200,支出,账户B,市场推广,完成
T009,2024-02-10,,收入,账户A,项目收入,处理中
T010,2024-02-15,2100,支出,账户C,差旅费,完成
T011,2024-02-20,5500,收入,账户B,培训收入,完成
T012,2024-02-25,4800,支出,账户A,技术采购,完成
T013,2024-03-01,7200,收入,账户C,销售收入,完成
T014,2024-03-05,,支出,账户B,人力成本,处理中
T015,2024-03-10,3900,收入,账户A,服务收入,完成
T016,2024-03-15,2600,支出,账户C,办公租金,完成
T017,2024-03-20,6100,收入,账户B,咨询收入,完成
T018,2024-03-25,-2000,支出,账户A,设备维修,完成
T019,2024-04-01,8500,收入,账户C,项目收入,完成
T020,2024-04-05,4100,支出,账户B,市场活动,处理中
