用户ID,页面类型,停留时长 (秒),点击次数,时间段,设备类型
U001,首页,45,12,上午,手机
U002,产品页,128,25,下午,PC
U003,购物车,89,8,晚上,平板
U004,首页,32,6,上午,手机
U005,产品页,156,32,下午,PC
U006,结算页,245,15,晚上,手机
U007,首页,28,5,上午,平板
U008,产品页,178,28,下午,PC
U009,购物车,67,10,晚上,手机
U010,首页,52,14,上午,PC
U011,产品页,142,30,下午,平板
U012,结算页,312,18,晚上,手机
U013,首页,38,8,上午,PC
U014,产品页,165,35,下午,手机
U015,购物车,95,12,晚上,平板
U016,首页,41,9,上午,手机
U017,产品页,188,38,下午,PC
U018,结算页,278,20,晚上,平板
U019,首页,35,7,上午,PC
U020,产品页,152,29,下午,手机
U021,购物车,78,11,晚上,PC
U022,首页,48,13,上午,平板
U023,产品页,195,40,下午,手机
U024,结算页,298,22,晚上,PC
U025,首页,42,10,上午,手机
